t_u,u_raw,t_v,v_raw,t_du,du_raw,t_dv,dv_raw,t_orientacion,orientacion_raw,t_T_L,throttle_L,t_T_R,throttle_R
3.269,15728.0,3.269,-26214.0,3.269,-21.0,3.269,40.0,4.307,-2.320978,3.267,60.0,3.267,30.0
4.228,26214.0,4.228,15728.0,4.228,-14.0,4.228,4.0,4.779,-2.317786,4.428,45.0,4.428,45.0
4.522,26214.0,4.522,20971.0,4.522,18.0,4.522,16.0,5.31,-2.313372,4.95,60.0,4.95,30.0
4.874,41943.0,4.874,-5242.0,4.874,-12.0,4.874,2.0,5.788,-2.308904,5.453,60.0,5.453,30.0
5.093,36700.0,5.093,-10485.0,5.093,-8.0,5.093,34.0,6.341,-2.301995,5.924,60.0,5.924,30.0
5.454,20971.0,5.454,-5242.0,5.454,22.0,5.454,-2.0,6.78,-2.295504,6.452,45.0,6.452,45.0
5.717,20971.0,5.717,-31457.0,5.717,-26.0,5.717,-12.0,7.322,-2.287361,6.972,45.0,6.972,45.0
6.017,41943.0,6.017,-26214.0,6.017,-4.0,6.017,19.0,7.769,-2.280074,7.419,30.0,7.419,30.0
6.342,20971.0,6.342,-15728.0,6.342,-13.0,6.342,1.0,8.286,-2.270034,7.924,45.0,7.924,15.0
6.586,26214.0,6.586,5242.0,6.586,-19.0,6.586,4.0,8.765,-2.257628,8.445,60.0,8.445,30.0
6.974,31457.0,6.974,-5242.0,6.974,40.0,6.974,-40.0,9.304,-2.245534,8.911,45.0,8.911,15.0
7.213,26214.0,7.213,-36700.0,7.213,-52.0,7.213,50.0,9.757,-2.231242,9.413,60.0,9.413,30.0
7.518,31457.0,7.518,-10485.0,7.518,-7.0,7.518,-26.0,10.29,-2.216159,9.949,45.0,9.949,45.0
7.81,0.0,7.81,-20971.0,7.81,26.0,7.81,-6.0,10.798,-2.199054,10.439,45.0,10.439,15.0
8.12,47185.0,8.12,-31457.0,8.12,-18.0,8.12,2.0,11.288,-2.181348,10.945,45.0,10.945,15.0
