Tiempo,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
,-769.718,233.279,657.407,959.416,817.959,381.909,261.874
,-772.691,23.322,657.231,957.373,816.307,3.5573,271.249
,-765.754,233.238,656.814,95.417,813.548,363.895,247.924
,-775.664,233.257,657.387,954.465,813.771,291.948,25.529
,-765.754,233.235,656.893,956.693,815.704,371.111,303.697
,-763.772,233.057,658.036,957.223,816.249,234.733,253.504
,-763.772,233.186,655.824,958.352,817.394,1.2513,282.622
,-759.808,233.167,656.979,951.212,811.135,262.066,286.808
,-753.862,233.238,656.917,952.573,812.186,358.175,236.693
,-760.799,233.121,657.071,950.951,810.983,397.494,328.092
,-758.817,233.087,655.143,955.782,815.155,167.114,324.626
,-755.844,233.077,656.952,94.899,809.377,184.662,257.211
,-764.763,233.228,6.5695,952.006,8.1172,236.235,283.411
,-753.862,23.322,657.178,955.889,815.042,315.933,223.727
,-758.817,23.313,656.877,949.453,809.692,172.627,272.642
,-764.763,233.231,656.883,950.631,810.542,341.964,244.073
,-755.844,233.183,6.5685,952.418,8.1214,376.352,275.065
,-758.817,233.248,656.887,944.718,805.475,411.508,235.646
,-749.898,233.228,656.438,949.914,809.936,358.524,23.435
,-756.835,233.107,656.879,945.771,806.587,459.134,293.402
,-755.844,233.217,656.975,950.159,810.161,379.954,25.677
,-753.862,23.317,656.849,951.868,8.1169,319.797,269.431
,-75.188,233.316,656.441,945.576,806.103,560.246,232.849
,-749.898,233.161,656.859,948.416,808.761,162.916,288.017
,-754.853,233.129,6.5683,944.197,805.212,414.184,228.049
,-730.079,233.314,6.5688,945.592,806.262,535.553,180.252
,-730.079,233.285,6.5708,939.236,800.744,493.164,239.917
,-732.061,233.285,6.5708,939.236,800.744,493.164,239.917
,-733.051,233.279,656.864,941.651,802.813,491.622,278.801
,-730.079,233.268,656.887,936.029,798.037,569.238,187.921
,-732.061,233.214,657.078,940.294,801.755,3.703,349.246
,-729.088,233.319,657.156,945.537,806.065,436.821,273.127
,-729.088,23.331,656.848,941.343,802.503,354.076,240.302
,-725.124,233.371,656.866,941.573,802.606,529.537,261.344
,-735.033,233.347,656.686,942.849,803.731,4.1725,236.438
,-727.106,233.281,656.774,94.056,801.878,515.179,276.812
,-726.115,233.345,656.811,943.432,8.0423,277.212,304.379
,-725.124,233.325,656.808,940.073,801.398,478.388,220.823
,-728.097,23.332,656.826,940.588,801.844,487.733,207.954
,-73.107,233.382,656.821,939.478,800.803,261.037,349.133
,-734.042,233.201,656.935,940.575,802.013,632.672,213.532
,-73.107,233.341,657.036,945.922,8.0636,492.376,260.595
,-722.151,233.372,656.843,940.041,8.013,538.561,246.815
,-727.106,233.386,656.876,939.677,800.968,501.187,267.436
,-727.106,233.356,655.797,941.016,802.155,482.217,254.055
,-723.142,233.407,656.682,941.647,802.615,424.642,296.373
,-718.187,233.381,656.768,939.925,801.186,513.259,214.568
,-725.124,233.415,6.5683,941.727,802.671,455.771,18.513
,-723.142,233.432,6.5784,944.889,8.0534,4.4111,190.153
,-728.097,233.459,656.998,nan,805.027,468.741,238.653
,-725.124,233.477,656.897,941.721,802.572,4.2793,244.477
,-72.116,23.361,656.901,94.455,804.782,546.843,266.834
,-722.151,233.539,656.857,942.818,803.413,552.853,342.401
,nan,233.452,6.5685,938.823,8.2014,421.236,279.406
