Tiempo_rasp,Tiempo_Relativo_rasp,Profundidad_rasp,Temperatura,pH,DO_SAT,DO,Blue,Chl,Tiempo_sonda,Tiempo_Relativo_sonda,Profundidad_sonda,Tiempo_paparazzi,Tiempo_Relativo_paparazzi,Profundidad_paparazzi,Static_control,Mode,Profile_ID
2025-05-09 01:34:12,0.0,0,0,0,0,0,0,0,16/07/2025 9:12:09,0,-742,2025-07-22 10:43:41.250000,0.0,0.0,0.0,2.0,0.0
2025-05-09 01:34:20,8.0,0,0,0,0,0,0,0,16/07/2025 9:12:14,5,-744,2025-07-22 10:44:06.500000,30.306277108433733,0.0,0.0,2.0,0.0
2025-05-09 01:34:29,17.0,0,0,0,0,0,0,0,16/07/2025 9:12:19,10,-734,2025-07-22 10:44:36.750000,60.612554216867466,0.0,0.0,2.0,0.0
2025-05-09 01:34:37,25.0,0,0,0,0,0,0,0,16/07/2025 9:12:24,15,-738,2025-07-22 10:45:07,90.9188313253012,0.0,0.0,2.0,0.0
2025-05-09 01:34:46,34.0,0,0,0,0,0,0,0,16/07/2025 9:12:29,20,-744,2025-07-22 10:45:37.500000,121.22510843373493,0.0,0.0,2.0,0.0
2025-05-09 01:34:54,42.0,0,0,0,0,0,0,0,16/07/2025 9:12:34,25,-739,2025-07-22 10:46:07.750000,151.53138554216866,0.0,0.0,2.0,0.0
2025-05-09 01:35:03,51.0,0,0,0,0,0,0,0,16/07/2025 9:12:39,30,-739,2025-07-22 10:46:38,181.8376626506024,0.0,0.0,1.0,0.0
2025-05-09 01:35:11,59.0,0,0,0,0,0,0,0,16/07/2025 9:12:44,35,-735,2025-07-22 10:47:08.250000,212.14393975903613,0.0,0.0,1.0,0.0
2025-05-09 01:35:20,68.0,0,0,0,0,0,0,0,16/07/2025 9:12:49,40,-739,2025-07-22 10:47:38.750000,242.45021686746986,0.0,0.0,1.0,0.0
2025-05-09 01:35:28,76.0,0,0,0,0,0,0,0,16/07/2025 9:12:54,45,-739,2025-07-22 10:48:09,272.7564939759036,0.0,0.0,1.0,0.0
2025-05-09 01:35:37,85.0,0,0,0,0,0,0,0,16/07/2025 9:12:59,50,-736,2025-07-22 10:48:39.250000,303.0627710843373,0.0,0.0,1.0,0.0
2025-05-09 01:35:45,93.0,0,0,0,0,0,0,0,16/07/2025 9:13:04,55,-738,2025-07-22 10:49:09.750000,333.36904819277106,0.0,0.0,1.0,0.0
2025-05-09 01:35:54,102.0,0,0,0,0,0,0,0,16/07/2025 9:13:09,60,-742,2025-07-22 10:49:39.750000,363.6753253012048,0.0,0.0,1.0,0.0
2025-05-09 01:36:02,110.0,0,0,0,0,0,0,0,16/07/2025 9:13:14,65,-738,2025-07-22 10:50:10.250000,393.9816024096385,0.0,0.0,1.0,0.0
2025-05-09 01:36:11,119.0,0,0,0,0,0,0,0,16/07/2025 9:13:19,70,-739,2025-07-22 10:50:40.500000,424.28787951807226,0.0,0.0,1.0,0.0
2025-05-09 01:36:19,127.0,0,0,0,0,0,0,0,16/07/2025 9:13:24,75,-738,2025-07-22 10:51:10.750000,454.594156626506,0.0,0.0,1.0,0.0
2025-05-09 01:36:28,136.0,0,0,0,0,0,0,0,16/07/2025 9:13:29,80,-744,2025-07-22 10:51:41.250000,484.9004337349397,0.0,0.0,1.0,0.0
2025-05-09 01:36:36,144.0,0,0,0,0,0,0,0,16/07/2025 9:13:34,85,-727,2025-07-22 10:52:11.500000,515.2067108433735,0.0,0.0,1.0,0.0
