,Prof paparazzi,t_paparazzi
0,0.0,6.824
1,0.0,7.099
2,0.0,7.609
3,0.0,8.099
4,0.0,8.596
5,0.0,9.092
6,0.0,9.594
7,0.0,10.101
8,0.0,10.59
9,0.0,11.083
10,0.0,11.592
11,0.0,12.081
12,0.0,12.584
13,0.0,13.083
14,0.0,13.591
15,0.0,14.079
16,0.0,14.579
17,0.0,15.076
18,0.0,15.573
19,0.0,16.074
20,0.0,16.569
21,0.0,17.073
22,0.0,17.569
23,0.0,18.064
24,0.0,18.564
25,0.0,19.061
26,0.0,19.568
27,0.0,20.063
28,0.0,20.55
29,0.0,21.05
30,0.0,21.549
31,0.0,22.048
32,0.0,22.557
33,0.0,23.048
34,0.0,23.546
35,0.0,24.039
36,0.0,24.538
37,0.0,25.04
38,0.0,25.537
39,0.0,26.037
40,0.0,26.544
41,0.0,27.032
42,0.0,27.526
43,0.0,28.025
44,0.0,28.535
45,0.0,29.021
46,0.0,29.524
47,0.0,30.017
48,0.0,30.521
49,0.0,31.014
50,0.0,31.524
51,0.0,32.01
52,0.0,32.521
53,0.0,33.012
54,0.0,33.508
55,0.0,34.009
56,0.0,34.512
57,0.0,35.006
58,0.0,35.511
59,0.0,36.002
60,0.0,36.501
61,0.0,36.999
62,0.0,37.492
63,0.0,38.001
64,0.0,38.497
65,0.0,38.997
66,0.0,39.499
67,0.0,39.998
68,0.0,40.499
69,0.0,40.982
70,0.0,41.482
71,0.0,41.978
72,0.0,42.476
73,0.0,42.975
74,0.0,43.487
75,0.0,43.976
76,0.0,44.477
77,0.0,44.966
78,0.0,45.47
79,0.0,45.97
80,0.0,46.46
81,0.0,46.966
82,0.0,47.465
83,0.0,47.958
84,0.0,48.468
85,0.0,48.958
86,0.0,49.465
87,0.0,49.956
88,0.0,50.453
89,0.0,50.947
90,0.0,51.449
91,0.0,51.945
92,0.0,52.442
93,0.0,52.94
94,0.0,53.453
95,0.0,53.94
96,0.0,54.437
97,0.0,54.939
98,0.0,55.44
99,0.0,55.935
100,0.0,56.429
101,0.0,56.93
102,0.0,57.429
103,0.0,57.927
104,0.0,58.419
105,0.0,58.923
106,0.0,59.422
107,0.0,59.92
108,0.0,60.419
109,0.0,60.917
110,0.0,61.422
111,0.0,61.914
112,0.0,62.418
113,0.0,62.904
114,0.0,63.403
115,0.0,63.9
116,0.0,64.399
117,0.0,64.903
118,0.0,65.396
119,0.0,65.904
120,0.0,66.392
121,0.0,66.903
122,0.0,67.396
123,0.0,67.89
124,0.0,68.388
125,0.0,68.891
126,0.0,69.383
127,0.0,69.884
128,0.0,70.435
129,0.0,70.881
130,0.0,71.374
131,0.0,71.878
132,0.0,72.381
133,0.0,72.869
134,0.0,73.372
135,0.0,73.877
136,0.0,74.365
137,0.0,74.873
138,0.0,75.36
139,0.0,75.87
140,0.0,76.413
141,0.0,76.856
142,0.0,77.368
143,0.0,77.859
144,0.0,78.351
145,0.0,78.861
146,0.0,79.36
147,0.0,79.855
148,0.0,80.357
149,0.0,80.847
150,0.0,81.34
151,0.0,81.851
152,0.0,82.342
153,0.0,82.842
154,0.0,83.339
155,0.0,83.834
156,0.0,84.388
157,0.0,84.834
158,0.0,85.329
159,0.0,85.834
160,0.0,86.337
161,0.0,86.83
162,0.0,87.318
163,0.0,87.896
164,0.0,88.328
165,0.0,88.818
166,0.0,89.327
167,0.0,89.816
168,0.0,90.307
169,0.0,90.819
170,0.0,91.372
171,0.0,91.812
172,0.0,92.315
173,0.0,92.801
174,0.0,93.299
175,0.0,93.796
176,0.0,94.3
177,0.0,94.805
178,0.0,95.291
179,0.0,95.8
180,0.0,96.301
181,0.0,96.791
182,0.0,97.353
183,0.0,97.795
184,0.0,98.296
185,0.0,98.788
186,0.0,99.282
187,0.0,99.788
188,0.0,100.28
189,0.0,100.77
190,0.0,101.269
191,0.0,101.773
192,0.0,102.267
193,0.0,102.773
194,0.0,103.274
195,0.0,103.765
196,0.0,104.326
197,0.0,104.759
198,0.0,105.267
199,0.0,105.765
200,0.0,106.261
201,0.0,106.76
202,0.0,107.251
203,0.0,107.757
204,0.0,108.247
205,0.0,108.757
206,0.0,109.248
207,0.0,109.744
208,0.0,110.238
209,0.0,110.746
210,0.0,111.236
211,0.0,111.74
212,0.0,112.306
213,0.0,112.74
214,0.0,113.226
215,0.0,113.728
216,0.0,114.234
217,0.0,114.721
218,0.0,115.223
219,0.0,115.731
220,0.0,116.231
221,0.0,116.723
222,0.0,117.226
223,0.0,117.722
224,0.0,118.266
225,0.0,118.714
226,0.0,119.214
227,0.0,119.71
228,0.0,120.212
229,0.0,120.711
230,0.0,121.211
231,0.0,121.699
232,0.0,122.194
233,0.0,122.705
234,0.0,123.19
235,0.0,123.703
236,0.0,124.194
237,0.0,124.691
238,0.0,125.185
239,0.0,125.683
240,0.0,126.189
241,0.0,126.69
242,0.0,127.183
243,0.0,127.679
244,0.0,128.234
245,0.0,128.679
246,0.0,129.169
247,0.0,129.679
248,0.0,130.177
249,0.0,130.67
250,0.0,131.177
251,0.0,131.668
252,0.0,132.171
253,0.0,132.665
254,0.0,133.214
255,0.0,133.66
256,0.0,134.167
257,0.0,134.66
258,0.0,135.163
259,0.0,135.656
260,0.0,136.157
261,0.0,136.65
262,0.0,137.151
263,0.0,137.651
264,0.0,138.154
265,0.0,138.653
266,0.0,139.202
267,0.0,139.653
268,0.0,140.161
269,0.0,140.654
270,0.0,141.132
271,0.0,141.632
272,0.0,142.154
273,0.0,142.626
274,0.0,143.203
275,0.0,143.632
276,0.0,144.13
277,0.0,144.626
278,0.0,145.12
279,0.0,145.62
280,0.0,146.199
281,0.0,146.616
282,0.0,147.173
283,0.0,147.616
284,0.0,148.119
285,0.0,148.607
286,0.0,149.101
287,0.0,149.685
288,0.0,150.097
289,0.0,150.608
290,0.0,151.101
291,0.0,151.597
292,0.0,152.105
293,0.0,152.595
294,0.0,153.088
295,0.0,153.594
296,0.0,154.143
297,0.0,154.591
298,0.0,155.079
