X,Y
2.325000000000000000e+02,6.001000000000000227e+02
2.317969696969696827e+02,6.004212121212121929e+02
2.310939393939393938e+02,6.007424242424242493e+02
2.303909090909090764e+02,6.010636363636364194e+02
2.296878787878787875e+02,6.013848484848484759e+02
2.289848484848484702e+02,6.017060606060606460e+02
2.282818181818181813e+02,6.020272727272727025e+02
2.275787878787878640e+02,6.023484848484848726e+02
2.268757575757575751e+02,6.026696969696970427e+02
2.261727272727272577e+02,6.029909090909090992e+02
2.254696969696969688e+02,6.033121212121212693e+02
2.247666666666666515e+02,6.036333333333333258e+02
2.240636363636363626e+02,6.039545454545454959e+02
2.233606060606060453e+02,6.042757575757575523e+02
2.226575757575757564e+02,6.045969696969697225e+02
2.219545454545454390e+02,6.049181818181817789e+02
2.212515151515151501e+02,6.052393939393939490e+02
2.205484848484848328e+02,6.055606060606061192e+02
2.198454545454545439e+02,6.058818181818181756e+02
2.191424242424242266e+02,6.062030303030303457e+02
2.184393939393939377e+02,6.065242424242424022e+02
2.177363636363636203e+02,6.068454545454545723e+02
2.170333333333333314e+02,6.071666666666666288e+02
2.163303030303030141e+02,6.074878787878787989e+02
2.156272727272727252e+02,6.078090909090909690e+02
2.149242424242424079e+02,6.081303030303030255e+02
2.142212121212121190e+02,6.084515151515151956e+02
2.135181818181818016e+02,6.087727272727272521e+02
2.128151515151515127e+02,6.090939393939394222e+02
2.121121212121211954e+02,6.094151515151514786e+02
2.114090909090909065e+02,6.097363636363636488e+02
2.107060606060605892e+02,6.100575757575758189e+02
2.100030303030303003e+02,6.103787878787878753e+02
2.092999999999999829e+02,6.107000000000000455e+02
2.085969696969696940e+02,6.110212121212121019e+02
2.078939393939393767e+02,6.113424242424242721e+02
2.071909090909090878e+02,6.116636363636363285e+02
2.064878787878787705e+02,6.119848484848484986e+02
2.057848484848484816e+02,6.123060606060605551e+02
2.050818181818181642e+02,6.126272727272727252e+02
2.043787878787878753e+02,6.129484848484848953e+02
2.036757575757575580e+02,6.132696969696969518e+02
2.029727272727272691e+02,6.135909090909091219e+02
2.022696969696969518e+02,6.139121212121211784e+02
2.015666666666666629e+02,6.142333333333333485e+02
2.008636363636363455e+02,6.145545454545454049e+02
2.001606060606060566e+02,6.148757575757575751e+02
1.994575757575757393e+02,6.151969696969697452e+02
1.987545454545454504e+02,6.155181818181818016e+02
1.980515151515151331e+02,6.158393939393939718e+02
1.980434343434343418e+02,6.161202020202019867e+02
1.987303030303030198e+02,6.163606060606060737e+02
1.994171717171716978e+02,6.166010101010100470e+02
2.001040404040404042e+02,6.168414141414141341e+02
2.007909090909090821e+02,6.170818181818182211e+02
2.014777777777777601e+02,6.173222222222221944e+02
2.021646464646464665e+02,6.175626262626262815e+02
2.028515151515151445e+02,6.178030303030302548e+02
2.035383838383838224e+02,6.180434343434343418e+02
2.042252525252525288e+02,6.182838383838384289e+02
2.049121212121212068e+02,6.185242424242424022e+02
2.055989898989898848e+02,6.187646464646464892e+02
2.062858585858585911e+02,6.190050505050504626e+02
2.069727272727272691e+02,6.192454545454545496e+02
2.076595959595959471e+02,6.194858585858586366e+02
2.083464646464646250e+02,6.197262626262626100e+02
2.090333333333333314e+02,6.199666666666666970e+02
2.097202020202020094e+02,6.202070707070706703e+02
2.104070707070707158e+02,6.204474747474747574e+02
2.110939393939393938e+02,6.206878787878787307e+02
2.117808080808080717e+02,6.209282828282828177e+02
2.124676767676767497e+02,6.211686868686869047e+02
2.131545454545454561e+02,6.214090909090908781e+02
2.138414141414141341e+02,6.216494949494949651e+02
2.145282828282828120e+02,6.218898989898989385e+02
2.152151515151515184e+02,6.221303030303030255e+02
2.159020202020201964e+02,6.223707070707071125e+02
2.165888888888888744e+02,6.226111111111110858e+02
2.172757575757575808e+02,6.228515151515151729e+02
2.179626262626262587e+02,6.230919191919191462e+02
2.186494949494949367e+02,6.233323232323232332e+02
2.193363636363636147e+02,6.235727272727272066e+02
2.200232323232323211e+02,6.238131313131312936e+02
2.207101010101009990e+02,6.240535353535353806e+02
2.213969696969696770e+02,6.242939393939393540e+02
2.220838383838383834e+02,6.245343434343434410e+02
2.227707070707070613e+02,6.247747474747474143e+02
2.234575757575757393e+02,6.250151515151515014e+02
2.241444444444444457e+02,6.252555555555555884e+02
2.248313131313131237e+02,6.254959595959595617e+02
2.255181818181818016e+02,6.257363636363636488e+02
2.262050505050505080e+02,6.259767676767676221e+02
2.268919191919191860e+02,6.262171717171717091e+02
2.275787878787878640e+02,6.264575757575757962e+02
2.282656565656565704e+02,6.266979797979797695e+02
2.289525252525252483e+02,6.269383838383838565e+02
2.296393939393939263e+02,6.271787878787878299e+02
2.303262626262626327e+02,6.274191919191919169e+02
2.310131313131313107e+02,6.276595959595958902e+02
2.316999999999999886e+02,6.278999999999999773e+02
