X,Y
-3.150000000000000000e+01,7.599999999999999645e+00
-3.192412060301507637e+01,7.831155778894472341e+00
-3.234824120603015274e+01,8.062311557788945038e+00
-3.277236180904522911e+01,8.293467336683416846e+00
-3.319648241206029837e+01,8.524623115577888655e+00
-3.362060301507537474e+01,8.755778894472362239e+00
-3.404472361809045111e+01,8.986934673366834048e+00
-3.446884422110552748e+01,9.218090452261305856e+00
-3.489296482412060385e+01,9.449246231155779441e+00
-3.531708542713568022e+01,9.680402010050251249e+00
-3.574120603015075659e+01,9.911557788944723058e+00
-3.616532663316583296e+01,1.014271356783919664e+01
-3.658944723618090222e+01,1.037386934673366845e+01
-3.701356783919597859e+01,1.060502512562814204e+01
-3.743768844221105496e+01,1.083618090452261384e+01
-3.786180904522613133e+01,1.106733668341708565e+01
-3.828592964824120770e+01,1.129849246231155746e+01
-3.871005025125628407e+01,1.152964824120602927e+01
-3.913417085427136044e+01,1.176080402010050285e+01
-3.955829145728642970e+01,1.199195979899497466e+01
-3.998241206030150607e+01,1.222311557788944825e+01
-4.040653266331658244e+01,1.245427135678392006e+01
-4.083065326633165881e+01,1.268542713567839186e+01
-4.125477386934673518e+01,1.291658291457286367e+01
-4.167889447236181155e+01,1.314773869346733726e+01
-4.210301507537688792e+01,1.337889447236180906e+01
-4.252713567839195719e+01,1.361005025125628265e+01
-4.295125628140704066e+01,1.384120603015075446e+01
-4.337537688442210992e+01,1.407236180904522627e+01
-4.379949748743718629e+01,1.430351758793969807e+01
-4.422361809045226266e+01,1.453467336683417344e+01
-4.464773869346733903e+01,1.476582914572864524e+01
-4.507185929648241540e+01,1.499698492462311705e+01
-4.549597989949748467e+01,1.522814070351758886e+01
-4.592010050251256104e+01,1.545929648241206067e+01
-4.634422110552763741e+01,1.569045226130653425e+01
-4.676834170854271377e+01,1.592160804020100606e+01
-4.719246231155779014e+01,1.615276381909547609e+01
-4.761658291457286651e+01,1.638391959798995146e+01
-4.804070351758794288e+01,1.661507537688442326e+01
-4.846482412060301215e+01,1.684623115577889507e+01
-4.888894472361809562e+01,1.707738693467337043e+01
-4.931306532663316489e+01,1.730854271356783869e+01
-4.973718592964824126e+01,1.753969849246231405e+01
-5.016130653266331763e+01,1.777085427135678586e+01
-5.058542713567839400e+01,1.800201005025125767e+01
-5.100954773869347036e+01,1.823316582914572948e+01
-5.143366834170853963e+01,1.846432160804020128e+01
-5.185778894472362310e+01,1.869547738693467664e+01
-5.228190954773869237e+01,1.892663316582914845e+01
-5.274020100502512776e+01,1.899447236180904852e+01
-5.330100502512562599e+01,1.857236180904522627e+01
-5.386180904522613133e+01,1.815025125628140756e+01
-5.442261306532662957e+01,1.772814070351758886e+01
-5.498341708542713491e+01,1.730603015075377016e+01
-5.554422110552764025e+01,1.688391959798994790e+01
-5.610502512562813848e+01,1.646180904522613275e+01
-5.666582914572864382e+01,1.603969849246231050e+01
-5.722663316582914206e+01,1.561758793969849535e+01
-5.778743718592964740e+01,1.519547738693467309e+01
-5.834824120603015274e+01,1.477336683417085439e+01
-5.890904522613065097e+01,1.435125628140703746e+01
-5.946984924623115631e+01,1.392914572864321698e+01
-6.003065326633165455e+01,1.350703517587940006e+01
-6.059145728643215989e+01,1.308492462311557958e+01
-6.115226130653266523e+01,1.266281407035175732e+01
-6.171306532663316347e+01,1.224070351758794217e+01
-6.227386934673366881e+01,1.181859296482411992e+01
-6.283467336683416704e+01,1.139648241206030477e+01
-6.339547738693467238e+01,1.097437185929648429e+01
-6.395628140703517772e+01,1.055226130653266203e+01
-6.451708542713568306e+01,1.013015075376884688e+01
-6.507788944723618840e+01,9.708040201005026404e+00
-6.563869346733667953e+01,9.285929648241209478e+00
-6.619949748743718487e+01,8.863819095477388998e+00
-6.676030150753769021e+01,8.441708542713566743e+00
-6.732110552763819555e+01,8.019597989949751593e+00
-6.788190954773870089e+01,7.597487437185929338e+00
-6.844271356783920623e+01,7.175376884422108859e+00
-6.900351758793969736e+01,6.753266331658293709e+00
-6.956432160804020270e+01,6.331155778894471453e+00
-7.012512562814069383e+01,5.909045226130656303e+00
-7.068592964824119917e+01,5.486934673366835824e+00
-7.124673366834170452e+01,5.064824120603013569e+00
-7.180753768844220986e+01,4.642713567839198419e+00
-7.236834170854271520e+01,4.220603015075376163e+00
-7.292914572864322054e+01,3.798492462311561013e+00
-7.348994974874372588e+01,3.376381909547738758e+00
-7.405075376884423122e+01,2.954271356783920055e+00
-7.461155778894472235e+01,2.532160804020101352e+00
-7.517236180904522769e+01,2.110050251256282650e+00
-7.573316582914571882e+01,1.687939698492463947e+00
-7.629396984924622416e+01,1.265829145728645244e+00
-7.685477386934672950e+01,8.437185929648229887e-01
-7.741557788944723484e+01,4.216080402010078387e-01
-7.797638190954774018e+01,-5.025125628144166967e-04
-7.853718592964824552e+01,-4.226130653266295667e-01
-7.909798994974875086e+01,-8.447236180904518221e-01
-7.965879396984925620e+01,-1.266834170854270525e+00
-8.021959798994974733e+01,-1.688944723618089228e+00
-8.051608040201004712e+01,-2.166331658291452467e+00
-8.054824120603015558e+01,-2.698994974874369568e+00
-8.058040201005024983e+01,-3.231658291457286225e+00
-8.061256281407035829e+01,-3.764321608040202882e+00
-8.064472361809045253e+01,-4.296984924623119539e+00
-8.067688442211054678e+01,-4.829648241206024650e+00
-8.070904522613065524e+01,-5.362311557788942196e+00
-8.074120603015074948e+01,-5.894974874371858853e+00
-8.077336683417085794e+01,-6.427638190954775510e+00
-8.080552763819095219e+01,-6.960301507537693055e+00
-8.083768844221106065e+01,-7.492964824120608824e+00
-8.086984924623115489e+01,-8.025628140703513935e+00
-8.090201005025124914e+01,-8.558291457286431481e+00
-8.093417085427135760e+01,-9.090954773869349026e+00
-8.096633165829145184e+01,-9.623618090452264795e+00
-8.099849246231156030e+01,-1.015628140703518234e+01
-8.103065326633165455e+01,-1.068894472361808745e+01
-8.106281407035176301e+01,-1.122160804020100500e+01
-8.109497487437185725e+01,-1.175427135678392077e+01
-8.112713567839195150e+01,-1.228693467336683831e+01
-8.115929648241205996e+01,-1.281959798994975586e+01
-8.119145728643215421e+01,-1.335226130653266097e+01
-8.122361809045226266e+01,-1.388492462311557674e+01
-8.125577889447235691e+01,-1.441758793969849428e+01
-8.128793969849246537e+01,-1.495025125628141005e+01
-8.132010050251255961e+01,-1.548291457286432760e+01
-8.135226130653265386e+01,-1.601557788944723271e+01
-8.138442211055276232e+01,-1.654824120603014848e+01
-8.141658291457285657e+01,-1.708090452261306424e+01
-8.144874371859296502e+01,-1.761356783919598357e+01
-8.148090452261305927e+01,-1.814623115577889934e+01
-8.151306532663316773e+01,-1.867889447236180445e+01
-8.154522613065326198e+01,-1.921155778894472022e+01
-8.157738693467335622e+01,-1.974422110552763598e+01
-8.160954773869346468e+01,-2.027688442211055531e+01
-8.164170854271355893e+01,-2.080954773869347108e+01
-8.167386934673366738e+01,-2.134221105527637619e+01
-8.170603015075376163e+01,-2.187487437185929195e+01
-8.173819095477387009e+01,-2.240753768844221128e+01
-8.177035175879396434e+01,-2.294020100502512705e+01
-8.180251256281407279e+01,-2.347286432160804281e+01
-8.183467336683416704e+01,-2.400552763819094793e+01
-8.186683417085426129e+01,-2.453819095477386725e+01
-8.189899497487436975e+01,-2.507085427135678302e+01
-8.193115577889446399e+01,-2.560351758793969879e+01
-8.196331658291457245e+01,-2.613618090452261811e+01
-8.199547738693466670e+01,-2.666884422110552322e+01
-8.202763819095477515e+01,-2.720150753768843899e+01
-8.205979899497486940e+01,-2.773417085427135476e+01
-8.209195979899496365e+01,-2.826683417085427408e+01
-8.286884422110553317e+01,-2.920351758793970731e+01
-8.389396984924623268e+01,-3.027487437185930830e+01
-8.491909547738691799e+01,-3.134623115577888797e+01
-8.594422110552763172e+01,-3.241758793969849251e+01
-8.696934673366834545e+01,-3.348894472361808994e+01
-8.799447236180904497e+01,-3.456030150753769448e+01
-8.901959798994975870e+01,-3.563165829145729901e+01
-9.004472361809044401e+01,-3.670301507537688224e+01
-9.106984924623114352e+01,-3.777437185929647967e+01
-9.209497487437185725e+01,-3.884572864321608421e+01
-9.312010050251257098e+01,-3.991708542713568875e+01
-9.414522613065327050e+01,-4.098844221105528618e+01
-9.517035175879395581e+01,-4.205979899497486940e+01
-9.619547738693466954e+01,-4.313115577889446683e+01
-9.722060301507536906e+01,-4.420251256281407137e+01
-9.824572864321608279e+01,-4.527386934673367591e+01
-9.927085427135679652e+01,-4.634522613065328045e+01
-1.002959798994974676e+02,-4.741658291457285657e+01
-1.013211055276381813e+02,-4.848793969849246110e+01
-1.023462311557788951e+02,-4.955929648241206564e+01
-1.033713567839195946e+02,-5.063065326633166308e+01
-1.043964824120603083e+02,-5.170201005025126761e+01
-1.054216080402009936e+02,-5.277336683417084373e+01
-1.064467336683416931e+02,-5.384472361809045537e+01
-1.074718592964824069e+02,-5.491608040201005281e+01
-1.084969849246231206e+02,-5.598743718592965735e+01
-1.095221105527638201e+02,-5.705879396984926188e+01
-1.105472361809045054e+02,-5.813015075376883800e+01
-1.115723618090452192e+02,-5.920150753768844254e+01
-1.125974874371859187e+02,-6.027286432160803997e+01
-1.136226130653266324e+02,-6.134422110552764451e+01
-1.146477386934673461e+02,-6.241557788944724905e+01
-1.156728643216080172e+02,-6.348693467336682517e+01
-1.166979899497487452e+02,-6.455829145728642970e+01
-1.177231155778894447e+02,-6.562964824120604135e+01
