Individuo | Variable | Mascara | Original | Mutado | Noise | Lower | Upper
--------------------------------------------------
1         | 1        | 0       | 0.0000   | 0.0000   | 2.2587   | -600.0000 | 600.0000
1         | 2        | 0       | 0.0000   | 0.0000   | -0.6428  | -400.0000 | 200.0000
1         | 3        | 0       | 0.0000   | 0.0000   | -1.0263  | -20.0000 | 0.0000  
1         | 4        | 1       | 0.4313   | 1.1391   | 0.7078   | -600.0000 | 600.0000
1         | 5        | 0       | 14.5304  | 14.5304  | 1.9713   | -400.0000 | 200.0000
1         | 6        | 1       | -6.0573  | -3.3655  | 2.6917   | -20.0000 | 0.0000  
1         | 7        | 0       | 178.3667 | 178.3667 | 0.3229   | -600.0000 | 600.0000
1         | 8        | 1       | -234.8271 | -234.9006 | -0.0735  | -400.0000 | 200.0000
1         | 9        | 0       | -16.8759 | -16.8759 | 0.1300   | -20.0000 | 0.0000  
1         | 10       | 0       | 162.2377 | 162.2377 | 1.5064   | -600.0000 | 600.0000
1         | 11       | 0       | -40.4187 | -40.4187 | -1.6571  | -400.0000 | 200.0000
1         | 12       | 0       | -16.4129 | -16.4129 | -0.2481  | -20.0000 | 0.0000  
1         | 13       | 1       | 246.1670 | 246.6198 | 0.4528   | -600.0000 | 600.0000
1         | 14       | 0       | -128.6500 | -128.6500 | -0.7235  | -400.0000 | 200.0000
1         | 15       | 0       | -6.6448  | -6.6448  | 3.2715   | -20.0000 | 0.0000  
1         | 16       | 0       | 404.8405 | 404.8405 | 4.6534   | -600.0000 | 600.0000
1         | 17       | 1       | -298.1629 | -300.3158 | -2.1528  | -400.0000 | 200.0000
1         | 18       | 1       | -19.6171 | -14.9537 | 4.6634   | -20.0000 | 0.0000  
1         | 19       | 0       | 334.9231 | 334.9231 | 2.8041   | -600.0000 | 600.0000
1         | 20       | 0       | -34.1815 | -34.1815 | 0.5930   | -400.0000 | 200.0000
1         | 21       | 0       | -6.0072  | -6.0072  | 0.0654   | -20.0000 | 0.0000  
1         | 22       | 0       | 405.7860 | 405.7860 | 0.0785   | -600.0000 | 600.0000
1         | 23       | 0       | 81.6866  | 81.6866  | 0.7307   | -400.0000 | 200.0000
1         | 24       | 1       | -0.7816  | 0.0000   | 2.3320   | -20.0000 | 0.0000  
1         | 25       | 0       | 187.9387 | 187.9387 | -1.3660  | -600.0000 | 600.0000
1         | 26       | 0       | 12.7671  | 12.7671  | -2.6907  | -400.0000 | 200.0000
1         | 27       | 1       | 0.6352   | 1.2978   | 0.6625   | -20.0000 | 0.0000  
1         | 28       | 0       | 0.0000   | 0.0000   | 2.2234   | -600.0000 | 600.0000
1         | 29       | 0       | 0.0000   | 0.0000   | -2.9271  | -400.0000 | 200.0000
1         | 30       | 0       | 0.0000   | 0.0000   | 5.3560   | -20.0000 | 0.0000  

2         | 1        | 0       | 0.0000   | 0.0000   | 1.1168   | -600.0000 | 600.0000
2         | 2        | 0       | 0.0000   | 0.0000   | -0.8042  | -400.0000 | 200.0000
2         | 3        | 0       | 0.0000   | 0.0000   | -1.6753  | -20.0000 | 0.0000  
2         | 4        | 0       | -249.3381 | -249.3381 | 1.9964   | -600.0000 | 600.0000
2         | 5        | 1       | 146.4621 | 146.7722 | 0.3101   | -400.0000 | 200.0000
2         | 6        | 0       | -3.6589  | -3.6589  | 2.1358   | -20.0000 | 0.0000  
2         | 7        | 0       | 367.4899 | 367.4899 | 2.0623   | -600.0000 | 600.0000
2         | 8        | 1       | -390.0016 | -392.4622 | -2.4606  | -400.0000 | 200.0000
2         | 9        | 1       | -1.1745  | -2.5950  | -1.4204  | -20.0000 | 0.0000  
2         | 10       | 0       | 272.0052 | 272.0052 | -1.1611  | -600.0000 | 600.0000
2         | 11       | 0       | -217.1493 | -217.1493 | -1.4655  | -400.0000 | 200.0000
2         | 12       | 1       | -6.4832  | -7.4556  | -0.9724  | -20.0000 | 0.0000  
2         | 13       | 0       | 493.6070 | 493.6070 | 1.3920   | -600.0000 | 600.0000
2         | 14       | 0       | -389.9207 | -389.9207 | -0.6497  | -400.0000 | 200.0000
2         | 15       | 0       | -13.2255 | -13.2255 | -0.4630  | -20.0000 | 0.0000  
2         | 16       | 0       | 325.3474 | 325.3474 | -2.1231  | -600.0000 | 600.0000
2         | 17       | 0       | -9.3655  | -9.3655  | 1.8319   | -400.0000 | 200.0000
2         | 18       | 1       | -16.3645 | -13.6762 | 2.6883   | -20.0000 | 0.0000  
2         | 19       | 1       | 450.9240 | 450.1024 | -0.8216  | -600.0000 | 600.0000
2         | 20       | 0       | -73.9279 | -73.9279 | 2.0720   | -400.0000 | 200.0000
2         | 21       | 0       | -12.5060 | -12.5060 | 1.6394   | -20.0000 | 0.0000  
2         | 22       | 0       | 585.1184 | 585.1184 | 0.2119   | -600.0000 | 600.0000
