X,Y
-7.250000000000000000e+01,1.300000000000000044e+00
-8.541005025125627981e+01,1.092763819095477551e+01
-9.832010050251255961e+01,2.055527638190955031e+01
-1.112301507537688394e+02,3.018291457286432333e+01
-1.241402010050251192e+02,3.981055276381909636e+01
-1.370502512562813990e+02,4.943819095477387293e+01
-1.499603015075376788e+02,5.906582914572864240e+01
-1.628703517587939587e+02,6.869346733668341187e+01
-1.757804020100502385e+02,7.832110552763819555e+01
-1.832438244482603693e+02,8.258469154241183219e+01
-1.804948197370089531e+02,7.679067972684586607e+01
-1.777458150257575653e+02,7.099666791127989995e+01
-1.749968103145061491e+02,6.520265609571393384e+01
-1.722478056032547329e+02,5.940864428014796772e+01
-1.694988008920033451e+02,5.361463246458200160e+01
-1.667497961807519289e+02,4.782062064901602838e+01
-1.640007914695005127e+02,4.202660883345006937e+01
-1.612517867582491249e+02,3.623259701788411746e+01
-1.629205902184708634e+02,3.446920211749446850e+01
-1.665221847537121107e+02,3.446920211749446850e+01
-1.701237792889533864e+02,3.446920211749446850e+01
-1.737253738241946337e+02,3.446920211749446850e+01
-1.773269683594359094e+02,3.446920211749446850e+01
-1.809285628946771567e+02,3.446920211749446850e+01
-1.845301574299184040e+02,3.446920211749446850e+01
-1.881317519651596513e+02,3.446920211749446850e+01
-1.917333465004009270e+02,3.446920211749446850e+01
-1.953349410356421743e+02,3.446920211749446850e+01
-1.989365355708834500e+02,3.446920211749446850e+01
-2.025381301061246972e+02,3.446920211749446850e+01
-2.061397246413659730e+02,3.446920211749446850e+01
-2.097413191766072202e+02,3.446920211749446850e+01
-2.133429137118484675e+02,3.446920211749446850e+01
-2.169445082470897148e+02,3.446920211749446850e+01
-2.205461027823309621e+02,3.446920211749446850e+01
-2.199197385153324831e+02,3.365408851773323562e+01
-2.127165494448499601e+02,3.157102042945455977e+01
-2.055133603743674655e+02,2.948795234117588038e+01
-1.983101713038849425e+02,2.740488425289720098e+01
-1.911069822334024195e+02,2.532181616461851092e+01
-1.839037931629198965e+02,2.323874807633983153e+01
-1.767006040924374020e+02,2.115567998806115213e+01
-1.694974150219549074e+02,1.907261189978247629e+01
-1.622942259514723844e+02,1.698954381150379689e+01
-1.630771812852204903e+02,1.644613474499631423e+01
-1.666787758204617376e+02,1.644613474499631423e+01
-1.702803703557030133e+02,1.644613474499631423e+01
-1.738819648909442606e+02,1.644613474499631423e+01
-1.774835594261855078e+02,1.644613474499631423e+01
-1.810851539614267836e+02,1.644613474499631423e+01
-1.846867484966680308e+02,1.644613474499631423e+01
-1.882883430319092781e+02,1.644613474499631423e+01
-1.918899375671505538e+02,1.644613474499631423e+01
-1.954915321023918011e+02,1.644613474499631423e+01
-1.990931266376330484e+02,1.644613474499631423e+01
-2.026947211728743241e+02,1.644613474499631423e+01
-2.062963157081155714e+02,1.644613474499631423e+01
-2.098979102433568187e+02,1.644613474499631423e+01
-2.134995047785980660e+02,1.644613474499631423e+01
-2.171010993138393417e+02,1.644613474499631423e+01
-2.207026938490806174e+02,1.644613474499631423e+01
-2.196065563818332862e+02,1.554045296748385319e+01
