X,Y
-1.331000061035156250e+02,-8.169999694824218750e+01
-1.326844633957192912e+02,-8.139253847718336488e+01
-1.322706526933935436e+02,-8.108583426133814953e+01
-1.318585782439733975e+02,-8.077988625479997609e+01
-1.314482442038440695e+02,-8.047469637336971005e+01
-1.310396546386206751e+02,-8.017026649467938171e+01
-1.306328135234308263e+02,-7.986659845831752591e+01
-1.302277247431976548e+02,-7.956369406595452176e+01
-1.298243920929243984e+02,-7.926155508146867135e+01
-1.294228192779808069e+02,-7.896018323107320214e+01
-1.290230099143897178e+02,-7.865958020344302781e+01
-1.286249675291161054e+02,-7.835974764984301544e+01
-1.282286955603567833e+02,-7.806068718425626685e+01
-1.278341973578316413e+02,-7.776240038351309636e+01
-1.274414761830765030e+02,-7.746488878742096063e+01
-1.270505352097360117e+02,-7.716815389889403320e+01
-1.266613775238592865e+02,-7.687219718408432811e+01
-1.262740061241958642e+02,-7.657702007251282339e+01
-1.258884239224930468e+02,-7.628262395720112465e+01
-1.255046337437952388e+02,-7.598901019480430818e+01
-1.251226383267427877e+02,-7.569618010574309608e+01
-1.247424403238738080e+02,-7.540413497433775092e+01
-1.243640423019262329e+02,-7.511287604894189940e+01
-1.239874467421410884e+02,-7.482240454207686753e+01
-1.236126560405676287e+02,-7.453272163056703903e+01
-1.232396725083683720e+02,-7.424382845567483002e+01
-1.228684983721264814e+02,-7.395572612323709905e+01
-1.224991357741536149e+02,-7.366841570380141491e+01
-1.221315867727989541e+02,-7.338189823276313462e+01
-1.217658533427600958e+02,-7.309617471050314919e+01
-1.214019373753934445e+02,-7.281124610252540208e+01
-1.210398406790273214e+02,-7.252711333959568663e+01
-1.206795649792752414e+02,-7.224377731788048607e+01
-1.203211119193504288e+02,-7.196123889908636784e+01
-1.199644830603819798e+02,-7.167949891060018786e+01
-1.196096798817305995e+02,-7.139855814562889691e+01
-1.192567037813070954e+02,-7.111841736334079656e+01
-1.189055560758907291e+02,-7.083907728900662448e+01
-1.185562380014489463e+02,-7.056053861414125095e+01
-1.182087507134586417e+02,-7.028280199664618522e+01
-1.178630952872269688e+02,-7.000586806095165571e+01
-1.175192727182147507e+02,-6.972973739815999750e+01
-1.171772839223598766e+02,-6.945441056618906828e+01
-1.168371297364018346e+02,-6.917988808991606220e+01
-1.164988109182078091e+02,-6.890617046132209111e+01
-1.161623281470983642e+02,-6.863325813963652422e+01
-1.158276820241755019e+02,-6.836115155148252143e+01
-1.154948730726505772e+02,-6.808985109102222566e+01
-1.151639017381741894e+02,-6.781935712010326256e+01
-1.148347683891654469e+02,-6.754966996840451543e+01
-1.145074733171435923e+02,-6.728078993358317916e+01
-1.141820167370596835e+02,-6.701271728142197048e+01
-1.138583987876292269e+02,-6.674545224597639503e+01
-1.135366195316663038e+02,-6.647899502972308028e+01
-1.132166789564172689e+02,-6.621334580370759682e+01
-1.128985769738963967e+02,-6.594850470769334549e+01
-1.125823134212220396e+02,-6.568447185031061508e+01
-1.122678880609531689e+02,-6.542124730920579623e+01
-1.119553005814277640e+02,-6.515883113119141967e+01
-1.116445505971003911e+02,-6.489722333239591023e+01
-1.113356376488820274e+02,-6.463642389841419345e+01
-1.110285612044799421e+02,-6.437643278445845851e+01
-1.107233206587384018e+02,-6.411724991550923392e+01
-1.104199153339804695e+02,-6.385887518646708827e+01
-1.101183444803498901e+02,-6.360130846230399015e+01
-1.098186072761542107e+02,-6.334454957821569110e+01
-1.095207028282085844e+02,-6.308859833977415121e+01
-1.092246301721799000e+02,-6.283345452308013535e+01
-1.089303882729325323e+02,-6.257911787491655531e+01
-1.086379760248732538e+02,-6.232558811290148526e+01
-1.083473922522982207e+02,-6.207286492564200842e+01
-1.080586357097400025e+02,-6.182094797288819166e+01
-1.077717050823152647e+02,-6.156983688568722357e+01
-1.074865989860736022e+02,-6.131953126653824171e+01
-1.072033159683458621e+02,-6.107003068954676905e+01
-1.069218545080944409e+02,-6.082133470058007418e+01
-1.066422130162632413e+02,-6.057344281742246039e+01
-1.063643898361289644e+02,-6.032635452993110903e+01
-1.060883832436522027e+02,-6.008006930019171676e+01
-1.058141914478295718e+02,-5.983458656267481501e+01
-1.055418125910466642e+02,-5.958990572439229538e+01
-1.052712447494308492e+02,-5.934602616505387829e+01
-1.050024859332056621e+02,-5.910294723722445553e+01
-1.047355340870444564e+02,-5.886066826648082895e+01
-1.044703870904256320e+02,-5.861918855156937980e+01
-1.042070427579879919e+02,-5.837850736456374534e+01
-1.039454988398864828e+02,-5.813862395102257352e+01
-1.036857530221490862e+02,-5.789953753014793847e+01
-1.034278029270330705e+02,-5.766124729494332257e+01
-1.031716461133827636e+02,-5.742375241237245120e+01
-1.029172800769873959e+02,-5.718705202351790717e+01
-1.026647022509393281e+02,-5.695114524374022835e+01
-1.024139100059932304e+02,-5.671603116283722557e+01
-1.021649006509247499e+02,-5.648170884520303048e+01
-1.019176714328906144e+02,-5.624817732998802455e+01
-1.016722195377885782e+02,-5.601543563125843406e+01
-1.014285420906180093e+02,-5.578348273815637981e+01
-1.011866361558411711e+02,-5.555231761506020405e+01
-1.009464987377438945e+02,-5.532193920174446333e+01
-1.007081267807978548e+02,-5.509234641354073858e+01
-1.004715171700225795e+02,-5.486353814149819641e+01
-1.002366667313478246e+02,-5.463551325254447022e+01
-1.000035722319768325e+02,-5.440827058964681839e+01
-9.977223038074899364e+01,-5.418180897197307644e+01
-9.954263782850384246e+01,-5.395612719505314914e+01
-9.931479116844481325e+01,-5.373122403094045296e+01
-9.908868693650336468e+01,-5.350709822837351481e+01
-9.886432161170404243e+01,-5.328374851293800418e+01
-9.864169161652864659e+01,-5.306117358722825372e+01
