X,Y
-1.393000030517578125e+02,-1.531999969482421875e+02
-1.753167383929900325e+02,-1.235575373530448076e+02
-2.074467590614414689e+02,-9.707038602760938772e+01
-2.359184136786570889e+02,-7.360479885899849251e+01
-2.609541251550803054e+02,-5.302721367128303598e+01
-2.827701505523857008e+02,-3.520456397549439487e+01
-3.015763750249632835e+02,-2.000457433990409584e+01
-3.175761380961723717e+02,-7.296037759933454936e+00
-3.309660905597073679e+02,3.050924579623696786e+00
-3.419360803327571148e+02,1.116462074531121118e+01
-3.506690656254253895e+02,1.717156228307635502e+01
-3.573410538300500434e+02,2.119625480850184829e+01
-3.621210645742666543e+02,2.336100452557013796e+01
-3.651711154229441263e+02,2.378574023300545548e+01
-3.666462287562235929e+02,2.258785037100389559e+01
-3.666944583936569302e+02,1.988203465596572528e+01
-3.654569345778882621e+02,1.578016984665337930e+01
-3.630679259750864958e+02,1.039118918196655272e+01
-3.596549173935358681e+02,3.820975028214462554e+00
-3.553387019661669228e+02,-3.827735727660467546e+00
-3.502334865872678051e+02,-1.245543400303930781e+01
-3.444470094381799754e+02,-2.196590902667216483e+01
-3.380806684811344098e+02,-3.226630749073328275e+01
-3.312296598446719713e+02,-4.326718180908303424e+01
-3.239831250680758785e+02,-5.488252794052100114e+01
-3.164243062158677731e+02,-6.702981323273374414e+01
-3.086307079167310121e+02,-7.962999473894477376e+01
-3.006742654239359922e+02,-9.260752845497772512e+01
-2.926215178366160217e+02,-1.058903699195982711e+02
-2.845337856628817690e+02,-1.194099666156269564e+02
-2.764673519467237952e+02,-1.331012426034395446e+02
-2.684736462209999672e+02,-1.469025758121608760e+02
-2.605994305882970252e+02,-1.607557684070854123e+02
-2.528869872702535417e+02,-1.746060106447029625e+02
-2.453743070038675000e+02,-1.884018386191866057e+02
-2.380952777003734582e+02,-2.020950862963024974e+02
-2.310798728185204993e+02,-2.156408322225463507e+02
-2.243543389393242080e+02,-2.289973412888017208e+02
-2.179413820637461185e+02,-2.421260019190896173e+02
-2.118603521881528593e+02,-2.549912590460055242e+02
-2.061274257448149569e+02,-2.675605432252253308e+02
-2.007557855261873669e+02,-2.798041962321192955e+02
-1.957557977421227235e+02,-2.916953934739339616e+02
-1.911351858886372383e+02,-3.032100635413282816e+02
-1.868992011352801228e+02,-3.143268052132489174e+02
-1.830507889655601730e+02,-3.250268022191840487e+02
-1.795907518313233879e+02,-3.352937360528982822e+02
-1.765179076073323756e+02,-3.451136971216383245e+02
-1.738292436567077175e+02,-3.544750945047574646e+02
-1.715200663412381630e+02,-3.633685645855236999e+02
-1.695841458329795444e+02,-3.717868788098247137e+02
-1.680138561049104169e+02,-3.797248508152938484e+02
-1.668003099988377471e+02,-3.871792431643208943e+02
-1.659334892881761618e+02,-3.941486739043658076e+02
-1.654023696716836866e+02,-4.006335231689399734e+02
-1.651950406517989620e+02,-4.066358400227672405e+02
-1.652988202677993002e+02,-4.121592497447120991e+02
-1.657003646697040153e+02,-4.172088617323361746e+02
-1.663857725336486340e+02,-4.217911782023040246e+02
-1.673406843333521010e+02,-4.259140038512671822e+02
-1.685503764953918733e+02,-4.295863566325277816e+02
-1.699998504781950714e+02,-4.328183797944278695e+02
-1.716739168260694726e+02,-4.356212553173308493e+02
-1.735572742602076346e+02,-4.380071188770790513e+02
-1.756345838784096429e+02,-4.399889764539685757e+02
-1.778905385443678426e+02,-4.415806226977024380e+02
-1.803099275556790246e+02,-4.427965611502585830e+02
-1.828776966873899426e+02,-4.436519264203567445e+02
-1.855790037148294402e+02,-4.441624083951253965e+02
-1.883992695257474566e+02,-4.443441785666279316e+02
-1.913242249374423523e+02,-4.442138185432809223e+02
-1.943399533395570984e+02,-4.437882508086349844e+02
-1.974329292876621480e+02,-4.430846717827384964e+02
-2.005900531765989570e+02,-4.421204872342311774e+02
-2.037986821258456871e+02,-4.409132500844116294e+02
-2.070466572119798627e+02,-4.394806006379562859e+02
-2.103223271855513588e+02,-4.378402092684521563e+02
-2.136145688115094572e+02,-4.360097215807751354e+02
-2.169128039736351070e+02,-4.340067060662893255e+02
-2.202070136843699686e+02,-4.318486042611632456e+02
-2.234877491418931470e+02,-4.295526834124854645e+02
-2.267461399764114560e+02,-4.271359916515843906e+02
-2.299738998273642778e+02,-4.246153156688699823e+02
-2.331633293925964665e+02,-4.220071408795978982e+02
-2.363073170896483077e+02,-4.193276140653793504e+02
-2.393993374680137265e+02,-4.165925084717678715e+02
-2.424334475096952985e+02,-4.138171913380700744e+02
-2.454042809535727940e+02,-4.110165938315518588e+02
