# VX,VY
-7.250000000000000000e+01,1.299999952316284180e+00
-1.841999969482421875e+02,8.459999847412109375e+01
-1.604151306152343750e+02,3.446920394897460938e+01
-1.915767517089843750e+02,3.446920394897460938e+01
-2.227383728027343750e+02,3.446920394897460938e+01
-1.604151306152343750e+02,1.644613456726074219e+01
-1.915767517089843750e+02,1.644613456726074219e+01
-2.227383728027343750e+02,1.644613456726074219e+01
-1.604151306152343750e+02,-1.576932668685913086e+00
-1.915767517089843750e+02,-1.576932668685913086e+00
-2.453999938964843750e+02,-8.919999694824218750e+01
-3.569442443847656250e+02,-5.895552825927734375e+01
-5.299176635742187500e+02,-2.656666564941406250e+02
-5.491663818359375000e+02,-2.530181274414062500e+02
-5.440263671875000000e+02,-2.884930114746093750e+02
-5.116575927734375000e+02,-2.521101379394531250e+02
-5.731804809570312500e+02,-2.498465118408203125e+02
-5.075484008789062500e+02,-2.243132019042968750e+02
-5.302000122070312500e+02,-3.817000122070312500e+02
-3.689930419921875000e+02,-4.751951904296875000e+02
-3.168999938964843750e+02,-3.870000000000000000e+02
-2.424127502441406250e+02,-4.121564025878906250e+02
-1.898000030517578125e+02,-3.077999877929687500e+02
-1.393000030517578125e+02,-1.531999969482421875e+02
